pair_id,group_id,anchor,positive,negative,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U01828,G01624,escucha atentamente.,lau'ker' musu',sekdiperker' kenmalek,U01812,G01609,hard,0.4609266519546509,0.41043826937675476,0.05048838257789612,44
U02591,G02366,divisando lo que levanta humo tu candela.,lli'amudek mu'katapa'su' penpen.,namasu' la'leklan luntetchek.,U02281,G02056,hard,0.42972350120544434,0.3777979910373688,0.05192551016807556,19
U02521,G02296,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,nu'an yupasik ima ipa' ipa'linchi ñinanlu' indiuntunñina'.,U02737,G02512,hard,0.6091111898422241,0.5303518176078796,0.07875937223434448,4
U02521,G02296,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,kenmu'wi'na asek ñiden lupa'paperwi'ñi tullima nana lli'tukunlusa'.,U02984,G02759,medium,0.6091111898422241,0.45677608251571655,0.15233510732650757,16
U02101,G01882,curémonos.,inlulen'awa',impaleriawa',U01825,G01621,hard,0.5856026411056519,0.5342106223106384,0.05139201879501343,31
U00921,G00895,esperame.,wa'ten'u,wa'tentapechek,U02041,G01825,hard,0.7282416224479675,0.6650168895721436,0.06322473287582397,5
U00921,G00895,esperame.,wa'ten'u,wa'tentutek ñiechek,U02040,G01824,medium,0.7282416224479675,0.5586057901382446,0.1696358323097229,11
U01034,G00895,deme tiempo.,wa'ten'u,wa'tentechek,U00805,G00681,hard,0.5238425731658936,0.4696471691131592,0.054195404052734375,9
U02138,G01918,me matarán.,dei'techuner'ku,usu'lliner'ku,U00801,G01817,hard,0.5028342008590698,0.4505167305469513,0.05231747031211853,4
U02138,G01918,me matarán.,dei'techuner'ku,kualek ñapallina',U02150,G01930,medium,0.5028342008590698,0.35251614451408386,0.15031805634498596,38
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿chacha'wanpala?,U00989,G00853,hard,0.7202214598655701,0.6669670343399048,0.05325442552566528,18
U01102,G00961,estoy confuso.,lachek'ki'nek,a'shupalek,U01389,G01214,hard,0.7250166535377502,0.6742075681686401,0.05080908536911011,18
U01103,G00961,estoy confundido.,lachek'ki'nek,yiennichi'nek,U02074,G01857,hard,0.6314796209335327,0.5811684131622314,0.05031120777130127,36
