pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U00011,G00008,1,0.5229185223579407,0.5229185223579407,True,1,esp_to_shi,¡salta!,¡indekker'!,(grupo correcto),¡salta!,¡indekker'!,(grupo correcto),best
U02615,G02390,1,0.71634840965271,0.71634840965271,True,1,esp_to_shi,"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U01957,G01747,1,0.7889651656150818,0.7889651656150818,True,1,esp_to_shi,¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),best
U02619,G02394,1,0.7531825304031372,0.7531825304031372,True,1,esp_to_shi,"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.6804039478302002,0.6804039478302002,True,1,esp_to_shi,son buenos.,u'chimulusa' nuker'ka,(grupo correcto),son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
U02432,G02207,1,0.6894755363464355,0.6894755363464355,True,1,esp_to_shi,"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01128,G00981,1,0.7677141427993774,0.7677141427993774,True,1,esp_to_shi,está nevando.,pulunker'wanpalli,(grupo correcto),está nevando.,pulunker'wanpalli,(grupo correcto),best
U03200,G02975,1,0.424007773399353,0.424007773399353,True,1,esp_to_shi,"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),best
U01218,G01058,1,0.9157738089561462,0.9157738089561462,True,1,esp_to_shi,tom escuchó.,tom lauk'tulli,(grupo correcto),tom escuchó.,tom lauk'tulli,(grupo correcto),best
U02095,G01877,1,0.8424696922302246,0.8424696922302246,True,1,esp_to_shi,remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),best
U02858,G02633,1,0.7469156384468079,0.7469156384468079,True,1,esp_to_shi,"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),best
U02269,G02044,1,0.6359363198280334,0.6359363198280334,True,1,esp_to_shi,mis hijos varones y también mis hijas mujeres me están sirviendo.,enmu'pinenwawalusa' nu'an ku'aperwawalusa' luwektapallinerku.,(grupo correcto),mis hijos varones y también mis hijas mujeres me están sirviendo.,enmu'pinenwawalusa' nu'an ku'aperwawalusa' luwektapallinerku.,(grupo correcto),best
U02909,G02684,1,0.7003912329673767,0.7003912329673767,True,1,esp_to_shi,yo dijeron los otros.,kua tullima ali'ladaper.,(grupo correcto),yo dijeron los otros.,kua tullima ali'ladaper.,(grupo correcto),best
U00971,G00837,1,0.6709656119346619,0.6709656119346619,True,1,esp_to_shi,te desmayaste.,muisu' kankantula,(grupo correcto),te desmayaste.,muisu' kankantula,(grupo correcto),best
U01451,G01269,1,0.7229115962982178,0.7229115962982178,True,1,esp_to_shi,soy guapa.,mulun nuka'ka,(grupo correcto),soy guapa.,mulun nuka'ka,(grupo correcto),best
U01830,G01626,1,0.6554598212242126,0.6554598212242126,True,1,esp_to_shi,¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),best
U02548,G02323,1,0.7140737175941467,0.7140737175941467,True,1,esp_to_shi,se detuvieron y miraron atrás.,waneranni'ma pi'shekllina'.,(grupo correcto),se detuvieron y miraron atrás.,waneranni'ma pi'shekllina'.,(grupo correcto),best
U00301,G00240,1,0.6685240864753723,0.6685240864753723,True,1,esp_to_shi,¡es estupendo!,¡u'chimuinchi nuka'a!,(grupo correcto),¡es estupendo!,¡u'chimuinchi nuka'a!,(grupo correcto),best
U01232,G01071,1,0.7446543574333191,0.7446543574333191,True,1,esp_to_shi,"despiértate, tom.","nanpiladaker', tom",(grupo correcto),"despiértate, tom.","nanpiladaker', tom",(grupo correcto),best
U01839,G01634,1,0.5787994265556335,0.5787994265556335,True,2,esp_to_shi,¿comenzamos?,¿tenmiansu'ter?,(grupo correcto),¿comenzamos?,¿tenmiansu'ter?,(grupo correcto),best
U00052,G00042,6,0.47005707025527954,0.6140611171722412,False,1,esp_to_shi,estate tranquilo.,musu' ñapaker',neriker' u'chimu,estate tranquilo.,musu' ñapaker',neriker' u'chimu,worst
U01689,G01493,7,0.33630749583244324,0.4754295349121094,False,3,esp_to_shi,pásaselo.,enka'ker',ishinwer',pásaselo.,enka'ker',ishinwer',worst
U00638,G00532,7,0.35377931594848633,0.5591455101966858,False,1,esp_to_shi,hicieron trampas.,allisek nu'tapallina',tuwiñina' nu'techuna,hicieron trampas.,allisek nu'tapallina',tuwiñina' nu'techuna,worst
U00815,G00691,7,0.3799663782119751,0.46770384907722473,False,1,esp_to_shi,estoy comprometida.,ñapalek ala'sa' enmu'pinenlek,tekua'dansu' ñapalek,estoy comprometida.,ñapalek ala'sa' enmu'pinenlek,tekua'dansu' ñapalek,worst
U02758,G02533,7,0.295206755399704,0.4139248728752136,False,1,esp_to_shi,los lagartos negros ahí están.,matutada ñapalli.,uki'lasa' nanpichuma'.,los lagartos negros ahí están.,matutada ñapalli.,uki'lasa' nanpichuma'.,worst
U00477,G01493,8,0.37990084290504456,0.6981300711631775,False,3,esp_to_shi,¡pásale!,enka'ker',¡tuna'ker'!,¡pásale!,enka'ker',¡tuna'ker'!,worst
U00478,G00392,8,0.38612791895866394,0.6892734169960022,False,1,esp_to_shi,¡pásenle!,enka'ku',¡tupiter'!,¡pásenle!,enka'ku',¡tupiter'!,worst
U02211,G01988,8,0.37060078978538513,0.4913269877433777,False,1,esp_to_shi,mejor vete.,a'pimuechu paker',paker' uti'la,mejor vete.,a'pimuechu paker',paker' uti'la,worst
U01217,G01057,8,0.3140166401863098,0.5587913393974304,False,1,esp_to_shi,tom insistió.,tom a'perchulli,tom tumu'pawiñi,tom insistió.,tom a'perchulli,tom tumu'pawiñi,worst
