id,pair_id,group_id,source,target,source_lang,target_lang,split,has_audit_flags,origin_source,score,label
RTBT000000__spa2shw,RTBT000000,GRTBT000000,"Andorra, oficialmente Principado de Andorra () es un micro-Estado soberano sin litoral ubicado en el suroeste de Europa, entre España y Francia, en el límite de la península ibérica.","Andorra, ku'apallina' Principalidad de Andorra (Andorra Principado de Andorra) i'la micro-estado soberano de la costa situado en el suroeste de Europa, en España y Francia, en el límite de la península ibérica.",spa,shw,train,False,backtranslation_roundtrip_v0,0.8978156447410583,accepted
RTBT000000__shw2spa,RTBT000000,GRTBT000000,"Andorra, ku'apallina' Principalidad de Andorra (Andorra Principado de Andorra) i'la micro-estado soberano de la costa situado en el suroeste de Europa, en España y Francia, en el límite de la península ibérica.","Andorra, oficialmente Principado de Andorra () es un micro-Estado soberano sin litoral ubicado en el suroeste de Europa, entre España y Francia, en el límite de la península ibérica.",shw,spa,train,False,backtranslation_roundtrip_v0,0.8978156447410583,accepted
RTBT000099__spa2shw,RTBT000099,GRTBT000099,"La densidad de población equivale a 344 hab./km², contando con 1136 km² de superficie total.","ñinanpu'lusa' ñinanpu'lusa' enpu'llina' 344 hab/km2, enpu'llina' 1136 km2 ñinanpu'.",spa,shw,train,False,backtranslation_roundtrip_v0,0.7239183187484741,accepted
RTBT000099__shw2spa,RTBT000099,GRTBT000099,"ñinanpu'lusa' ñinanpu'lusa' enpu'llina' 344 hab/km2, enpu'llina' 1136 km2 ñinanpu'.","La densidad de población equivale a 344 hab./km², contando con 1136 km² de superficie total.",shw,spa,train,False,backtranslation_roundtrip_v0,0.7239183187484741,accepted
RTBT000138__spa2shw,RTBT000138,GRTBT000138,"Agrestis Bubani (SUS) 
 Anomalotis Steud.",Agrestis Bubani (SUS) Anomalotis Steud.,spa,shw,train,False,backtranslation_roundtrip_v0,0.7625771760940552,accepted
RTBT000138__shw2spa,RTBT000138,GRTBT000138,Agrestis Bubani (SUS) Anomalotis Steud.,"Agrestis Bubani (SUS) 
 Anomalotis Steud.",shw,spa,train,False,backtranslation_roundtrip_v0,0.7625771760940552,accepted
RTBT000147__spa2shw,RTBT000147,GRTBT000147,Es originario de las regiones templadas de Eurasia y Sudamérica.,originario de las regiones templadas de Eurasia y América del Sur.,spa,shw,train,False,backtranslation_roundtrip_v0,0.8645480871200562,accepted
RTBT000147__shw2spa,RTBT000147,GRTBT000147,originario de las regiones templadas de Eurasia y América del Sur.,Es originario de las regiones templadas de Eurasia y Sudamérica.,shw,spa,train,False,backtranslation_roundtrip_v0,0.8645480871200562,accepted
RTBT000152__spa2shw,RTBT000152,GRTBT000152,Es originario de la región del Mediterráneo y de Eurasia.,originario de la region del mediterraneo y Eurasia.,spa,shw,train,False,backtranslation_roundtrip_v0,0.8654699325561523,accepted
RTBT000152__shw2spa,RTBT000152,GRTBT000152,originario de la region del mediterraneo y Eurasia.,Es originario de la región del Mediterráneo y de Eurasia.,shw,spa,train,False,backtranslation_roundtrip_v0,0.8654699325561523,accepted
RTBT000155__spa2shw,RTBT000155,GRTBT000155,Es originario del este de los Estados Unidos y Sudamérica.,originario de este de los Estados Unidos y América del Sur.,spa,shw,train,False,backtranslation_roundtrip_v0,0.8435925841331482,accepted
RTBT000155__shw2spa,RTBT000155,GRTBT000155,originario de este de los Estados Unidos y América del Sur.,Es originario del este de los Estados Unidos y Sudamérica.,shw,spa,train,False,backtranslation_roundtrip_v0,0.8435925841331482,accepted
